group,time,mu,outcome
1,1,3836.070904554702,3698.798867037762
1,2,5109.098047397965,5076.985002148274
1,3,6472.676014975433,6493.452041358059
1,4,7868.561281296798,7845.255637513658
1,5,9245.004091375296,9044.009350681377
1,6,10560.920126984096,10570.64272323995
1,7,11787.214407847554,11689.97366728764
1,8,12906.107127369949,12998.12927058638
1,9,13909.348408910217,13817.050970569026
1,10,14796.023505526386,14826.379018088974
1,11,15570.406168412344,15652.188314887175
1,12,16240.10426691404,16136.124850214968
1,13,16814.589072506624,16765.363288138407
1,14,17304.106672201095,17376.752660148828
1,15,17718.922804096197,17792.543181449095
1,16,18068.835286276266,17922.697089376863
1,17,18362.88828557136,18295.077515543046
1,18,18609.231038577742,18542.253593907266
1,19,18815.074838637785,18777.87150447104
1,20,18986.7131839538,18964.302020448195
1,21,19129.57959216513,19088.026162269976
1,22,19248.325301772067,19345.836923651226
1,23,19346.904955292797,19282.036253628634
1,24,19428.662654402393,19450.32881861527
1,25,19496.413812167837,19446.85272352462
1,26,19552.520304073605,19509.15870526343
1,27,19598.957793686855,19608.023141731603
1,28,19637.37498321637,19650.736870296867
1,29,19669.145067412803,19541.175203206374
1,30,19695.409963777525,19610.273444996674
1,31,19717.118033235594,19722.142365834803
1,32,19735.056049350154,19559.848716085395
1,33,19749.876159110383,19782.171922732763
1,34,19762.118529913638,19699.50673561423
1,35,19772.230312285064,19740.545457133958
1,36,19780.581476709518,19877.227713141834
1,37,19787.478012123098,19655.37373622493
1,38,19793.172906805994,19934.156459577945
1,39,19797.875271528068,19805.620438228558
1,40,19801.75791058676,19896.178930836682
1,41,19804.96359891601,19808.561863311883
1,42,19807.61028240896,19761.445397992335
1,43,19809.795383450593,19776.53930916529
1,44,19811.599363772908,19716.610625307087
1,45,19813.08867148181,19985.131154794566
1,46,19814.318177843215,19776.40706949652
1,47,19815.333191587277,19883.65492507685
1,48,19816.171123582135,19899.85718727515
1,49,19816.8628622936,19752.371774098483
1,50,19817.433910093543,19947.323725348968
2,1,3779.715148063963,3675.318037106202
2,2,4938.200333641693,4941.797774869883
2,3,6185.0278705817,6187.432323958028
2,4,7476.077077726461,7483.434297898726
2,5,8770.079628091913,8940.957470797559
2,6,10031.926969721868,10089.498209590447
2,7,11234.283100913739,11120.947948236604
2,8,12357.840562332423,12329.145955993486
2,9,13390.664612867195,13331.132861233364
2,10,14327.039725406861,14450.405020869084
2,11,15166.137832650935,15070.342967762364
2,12,15910.720415072612,15892.444688086163
2,13,16565.993791366807,16506.610666314013
2,14,17138.66857577947,17134.627508712787
2,15,17636.229887099682,17769.540773680073
2,16,18066.399823311884,18129.763902476545
2,17,18436.762270054383,18423.255503134762
2,18,18754.5172806898,18867.41320613068
2,19,19026.33427016989,18818.715183848453
2,20,19258.277541336793,19377.654642270172
2,21,19455.782630519825,19441.169400384275
2,22,19623.66674189374,19456.926758249738
2,23,19766.160719738364,19751.508294948133
2,24,19886.95344443188,19821.862348178118
2,25,19989.242243776764,20029.357602494027
2,26,20075.784970761862,19990.606404540496
2,27,20148.95092242767,20344.18783923833
2,28,20210.768872654877,20335.11716260585
2,29,20262.971263044758,20312.2505487844
2,30,20307.034122873545,20370.204239529598
2,31,20344.212637043238,20421.262819955016
2,32,20375.57250076622,20223.260119315022
2,33,20402.017329663016,20531.02851103458
2,34,20424.312462266073,20506.802276679722
2,35,20443.10551908475,20294.937401906755
2,36,20458.944082994563,20416.805016110004
2,37,20472.290849992183,20394.19380385395
2,38,20483.53657434,20453.518146174156
2,39,20493.01110254278,20605.257454060258
2,40,20500.992759554792,20534.055527769495
2,41,20507.716320065414,20360.01968368453
2,42,20513.37976882454,20474.498891741485
2,43,20518.1500273817,20598.325383591546
2,44,20522.1678006071,20423.199739216518
2,45,20525.55167499409,20614.572784230808
2,46,20528.40158192556,20421.68579949784
2,47,20530.801722655244,20475.56919780136
2,48,20532.823037500908,20552.947191472686
2,49,20534.525289446607,20720.89014927625
2,50,20535.95882178294,20376.34843852389
3,1,3722.1301354802313,3675.401768558205
3,2,4885.364206095869,4734.999605251437
3,3,6134.511217967792,6175.700976244412
3,4,7422.824090049486,7365.029017362836
3,5,8707.308334533116,8746.527771938954
3,6,9952.158378946333,9958.771810811608
3,7,11130.261064098991,11070.35018112266
3,8,12223.214065874205,12284.15678024648
3,9,13220.398767658779,13317.865702786665
3,10,14117.583324570225,13908.59113768585
3,11,14915.404749295629,14794.974941284163
3,12,15617.948117926018,15723.390406582454
3,13,16231.534816837615,16284.069700359514
3,14,16763.757757015577,16931.325468365998
3,15,17222.75648505227,17297.522882129695
3,16,17616.701978940968,17582.188376808208
3,17,17953.45229574009,17817.35249740362
3,18,18240.34019077659,18308.19786425862
3,19,18484.05814776919,18455.363766617633
3,20,18690.612267148517,18567.64885188261
3,21,18865.322617866994,18879.24985726368
3,22,19012.853193952727,19152.589713649064
3,23,19137.259229150284,19096.534197901183
3,24,19242.04327259556,19281.812953136774
3,25,19330.214206957706,19396.927398619737
3,26,19404.345439858553,19513.525800378553
3,27,19466.629968932404,19677.903852515403
3,28,19518.931046119214,19576.38214568878
3,29,19562.82786131439,19466.197539241155
3,30,19599.65611990069,19795.46185037616
3,31,19630.543672618292,19724.382230077797
3,32,19656.441521812183,19608.327015193645
3,33,19678.15061347306,19588.8249093189
3,34,19696.34485702787,19707.892974315597
3,35,19711.5908138238,19803.685860598758
3,36,19724.36447402371,19629.221936522255
3,37,19735.065509237265,19955.89090604429
3,38,19744.029350639154,19726.55724578559
3,39,19751.537403423932,19686.430053795335
3,40,19757.825670588063,19643.085605809367
3,41,19763.09202358416,19762.856051594506
3,42,19767.502325063888,19790.73034927774
3,43,19771.195579985844,19850.47932240801
3,44,19774.288265813095,19737.05109056227
3,45,19776.87797020084,19767.134977761027
3,46,19779.04644522799,19871.73902285358
3,47,19780.86217056708,19662.800245600803
3,48,19782.382503714736,19584.657136219757
3,49,19783.655483227238,19679.445126923194
3,50,19784.721340550204,19953.20144108135
4,1,3826.3201106947226,3744.163242342417
4,2,5050.8167170347415,5000.409524163974
4,3,6366.701487978453,6198.616983740837
4,4,7722.649653744251,7724.7564933802505
4,5,9071.74958926141,9010.040410917829
4,6,10375.327983548108,10379.209898278981
4,7,11604.532744244538,11479.279832055505
4,8,12740.225633508962,12881.653552226602
4,9,13771.829515050691,13744.254359212211
4,10,14695.684972943449,14702.090520886348
4,11,15513.312223223838,15391.04351345134
4,12,16229.817202406244,16235.267581992894
4,13,16852.557156128547,16801.96180479146
4,14,17390.097703232546,17179.527411410214
4,15,17851.4446929478,17871.83298977452
4,16,18245.51075151502,18208.872486561144
4,17,18580.769159211664,18717.77649197598
4,18,18865.049566816502,19009.51403463049
4,19,19105.436252835836,19011.104695938848
4,20,19308.237200532723,19285.294461684796
4,21,19478.999630806262,19477.36432031507
4,22,19622.554018036357,19636.0547281309
4,23,19743.0738030944,19870.218732480767
4,24,19844.142031848347,19644.6533116006
4,25,19928.81914149734,20041.32852673284
4,26,19999.708281675845,19970.17927092491
4,27,20059.016077763994,20155.016393634345
4,28,20108.60778101477,20077.344586362844
4,29,20150.056434575796,19944.294127376626
